제목, 저자, 출판사, 정가, 판매가, 출간일
챗GPT와 함께하는 파이썬 & 머신러닝 코딩 마스터,김대우,부크크(Bookk),17800,17800,2023-07-04
프로그래밍의 정석: 파이썬,도경구,생능출판,28000,25200,2020-12-29
알기 쉽게 해설한 파이썬 with 컴퓨팅 사고력,김충석/김지연,한빛아카데미,24000,24000,2023-02-19
암호 해킹으로 배우는 파이썬의 기초,알 스웨이가트,에이콘출판,35000,31500,2019-07-31
비트코딩 라이트 : 파이썬,박해민,햄큐,20000,18000,2018-10-19
나의 첫 머신러닝/딥러닝(데이터 사이언스 시리즈 27),허민석,위키북스,26000,23400,2019-01-10
알기쉬운 파이썬 SQL 코딩하기,정현희,크라운출판사,15000,13500,2023-01-10
Step by Step CRM을 위한 파이썬 머신러닝,김형수,프레딕스,30000,30000,2023-05-01
Let’s Start Coding with Raptor & Python (랩터 & 파이썬),김충석,앤아이컴즈,24000,24000,2019-08-15
파이썬 프로그래밍,박영권,시대인,22000,19800,2022-01-10
파이썬을 활용한 DSMDesign/Dependency Structure Matrix 기초 입문,박건영,키메이커,10000,-1,2023-05-02
파이썬 코딩 실습(기본편),류지훈/박훈영/시호연/심성보/윤현석/진대호,좋은땅,25000,22500,2020-07-27
파이썬 OpenCV를 이용한 영상처리 (컬러판),허진경,부크크(Bookk),25000,25000,2021-09-30
파이썬으로 배우는 초중등 교과서 2,김정욱,루비페이퍼,18000,16200,2019-08-20
파이썬의 정석,보요 시바타,루비페이퍼,26000,23400,2021-03-01
금융 데이터를 위한 파이썬,테리엇,비제이퍼블릭,24000,21600,2020-06-26
파이썬으로 배우는 프로그래밍 기초,임좌상/조용주,인피니티북스,23000,23000,2018-02-27
파이썬으로 코딩하는 물리,송오영,21세기사,29000,26100,2021-03-02
깔끔한 파이썬 탄탄한 백엔드,송은우,비제이퍼블릭,27000,24300,2019-01-25
잡아라! 텍스트 마이닝 with 파이썬,서대호,비제이퍼블릭,17000,15300,2019-04-30
모두의 라즈베리파이 with 파이썬,이시이 모루나/에사키 노리히데,길벗,26000,23400,2019-01-20
파이써닉한 파이썬을 익히는 간결한 안내서,데이비트 M. 비즐리,인사이트,28000,25200,2022-08-22
디딤돌 파이썬,이찬수,인피니티북스,29000,29000,2022-08-23
400제로 배우는 파이썬 입문,김범준,심통,28000,25200,2021-10-29
파이썬을 활용한 금융 분석,이브 힐피시,한빛미디어,42000,37800,2016-06-01
파이썬 알고리즘 객체지향 코딩의 기술,장무경,로드북,35000,31500,2022-12-23
자료구조와 알고리즘 with 파이썬,김현정/황숙희,길벗캠퍼스,28000,28000,2023-01-10
파이썬을 활용한 비지도 학습,벤자민 존스턴/애런 존스/크리스토퍼 크루거,에이콘출판,35000,31500,2019-11-29
파이썬으로 움직이는 EV3 로봇,황일규,복두출판사,22000,22000,2021-07-15
파이썬으로 배우는 영상처리,Sandipan Dey,도서출판 홍릉(홍릉과학출판사),33000,33000,2020-01-20
딥러닝 머신러닝을 위한 파이썬 넘파이,문용준/문성혁,잇플,35000,31500,2020-06-15
단단한 파이썬,패트릭 비아포어,에이콘출판,35000,31500,2022-08-24
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,19200,-1,2023-03-20
누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1,민형기,토마토북,16000,14400,2019-06-17
Step by Step CRM을 위한 파이썬 머신러닝,김형수,프레딕스,23000,-1,2023-04-07
2쪽 75주제로 연습하는 파이썬,구본근,홍릉,19000,19000,2023-02-28
파이썬 챌린지,니콜라 레이시,제이펍,11200,10080,2021-05-12
파이썬 매일 코딩,루벤 M. 러너,길벗,22000,19800,2021-11-30
파이썬 훈련소,북마크,유페이퍼,5000,-1,2022-08-06
연오의 파이썬,박연오,인사이트,19800,17820,2020-12-31
Pandas Cookbook,시어도어 페트로우,에이콘출판,40000,36000,2018-03-30
파이썬을 활용한 딥러닝 전이학습,디파니안 사르카르/러그허브 발리/타모그나 고시,위키북스,30000,27000,2019-10-11
파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트,36000,32400,2019-03-28
파이썬으로 배우는 수치 데이터 처리,김동근,가메,22000,19800,2020-03-03
아두이노와 피지컬 컴퓨팅 with 파이썬,이원규/김자미/장윤재,교학사,16000,14400,2018-12-20
파이썬으로 배우는 응용 텍스트 분석,벤자민 벵포트/레베카 빌브로/토니 오제다,제이펍,27000,24300,2019-11-29
파이썬 인공지능 입문+실전: 종합편,서민우,앤써북,23000,20700,2021-09-25
파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,28000,25200,2018-06-01
새내기 파이썬,천인국,생능출판,30000,30000,2022-06-30
김변수와 시작하는 코딩생활 with 파이썬,코뮤니티 운영진(휴몬랩),영진닷컴,18000,16200,2022-03-25
파이썬으로 무인도 탈출하기(STEAM 창의융합교육 시리즈 4),박정호/안해민/박찬솔,생능출판,14000,12600,2019-08-16
기계공학도를 위한 파이썬과 머신러닝,이대엽/이경은/이상승,야스미디어,25000,22500,2023-02-20
파이썬으로 하는 마케팅 연구와 분석,제이슨 슈바르츠/크리스 채프먼/에리 맥도넬 파이트,에이콘출판,40000,36000,2022-12-29
금융 데이터 분석을 위한 파이썬 판다스,유대표/조대표,파이스탁,30000,27000,2022-03-02
시간순삭 파이썬,천인국/정영민/최자영,생능북스,22000,19800,2020-08-27
똑똑한 파이썬,황재호/황예린,인포앤북,18000,16200,2021-06-01
딥러닝을 위한 최적화와 수치해석,황윤구/양한별,남가람북스,32000,28800,2020-02-03
비주얼 코딩: 스크래치&파이썬,캐롤 보더먼/존 우드콕/션 맥매너스/크레이그 스틸/클레어 퀴글리/다니엘 매카퍼티,청어람아이,19800,17820,2016-12-20
나의 첫 파이썬,Matthes Eric,한빛미디어,30000,27000,2020-07-01
마인크래프트와 함께 즐겁게 파이썬,최일선,비제이퍼블릭,26000,23400,2018-11-30
파이썬 코드 레시피 302,구로즈미 다카유키,제이펍,32000,28800,2022-04-18
파이썬 자연어 처리의 이론과 실제,잘라지 트하나키,에이콘출판,35000,31500,2018-06-29
한권으로 파이썬과 드론 날로먹기: 인공지능편,이현종/박재일,잇플,107800,97020,2021-12-21
파이썬 프로그래밍,유영환/김경민/김민호/이태훈/장종칠,부산대학교출판문화원,24000,24000,2021-08-31
파이썬 훈련소 (컬러판),북마크,부크크(Bookk),9300,9300,2022-07-19
실무에 바로 적용하는 AI 대비 파이썬 기초 입문서,강봉주,자유아카데미,34000,34000,2023-03-03
파이썬 딥러닝으로 시작하는 이상 징후 탐지,Sridhar Alla/Suman Kalyan Adari,홍릉,37000,37000,2021-09-24
파이썬 프로그래밍,최성철,한빛아카데미,25000,24250,2019-01-01
파이썬 3,박상현,한빛미디어,25000,22500,2016-02-10
생활코딩 머신러닝 실습편 with 파이썬 텐서플로,이숙번/이고잉,위키북스,24000,21600,2021-12-15
마이크로비트로 배우는 파이썬,서민우,앤써북,18800,16920,2020-02-25
안녕, 파이썬,김학인,북랩,17900,16110,2022-03-14
파이썬으로 맛보는 인공지능 한 조각,김수빈,디지털북스,18000,-1,2022-12-22
파이썬으로 시작하는 머신러닝+딥러닝,강지영,아이리포,22000,19800,2022-05-15
개발자를 위한 파이썬,윤웅식,한빛미디어,20000,18000,2017-11-01
프로젝트로 배우는 파이썬 프로그래밍,최덕기,학산미디어,30000,30000,2022-09-15
스타트 파이썬,황재호,인포앤북,21000,18900,2022-02-22
파이썬으로 배우는 딥러닝 교과서,이시카와 아키히코,한빛미디어,38000,34200,2020-03-01
머신러닝&딥러닝 with 파이썬,알베르토 아르타산체스/프라틱 조시,한빛미디어,40000,36000,2021-10-21
머신러닝을 위한 파이썬 한 조각,박성호,비제이퍼블릭,24000,21600,2020-02-21
파이썬과 대스크를 활용한 고성능 데이터 분석,제시 대니얼,한빛미디어,28000,25200,2020-10-05
파이썬 코딩 실습(연구활용 대기과학편),류지훈/박훈영/시호연/심성보/윤현석/진대호,좋은땅,25000,22500,2020-07-27
파이썬 프로그래밍,조인석,혜지원,27000,24300,2019-05-31
파이썬 정복,김상형,한빛미디어,22000,19800,2018-04-02
차근차근 데이터 분석과 인공지능 with 파이썬,류현수/박진영/최리사/최지영/최미선,연두에디션,19550,-1,2023-01-19
파이썬 자료구조와 알고리즘 for Beginner,우재남,한빛아카데미,27000,27000,2021-01-23
파이썬과 함께하는 생활 속의 통계학,안기수,생능,23000,23000,2022-12-12
파이썬 연습,김기용,그린,26000,26000,2022-02-25
핸즈온 머신러닝 딥러닝 알고리즘 트레이딩,스테판 젠슨,에이콘출판,43000,38700,2020-07-31
파이썬 프로그래밍,길준민/박지수,인피니티북스,22000,22000,2019-12-30
달구나 파이썬!,노순국/이금분/정유정,연두에디션,20000,20000,2021-12-01
Do it! 게임 10개 만들며 배우는 파이썬,벤 포터/쉬무엘 포터,이지스퍼블리싱,15000,-1,2022-12-09
프로그래밍 레벨업 파이썬 활용,조현준,북스홀릭퍼블리싱,25000,22500,2022-08-29
파이썬 첫걸음,James R Payne,잇플,26000,23400,2020-12-28
파이썬과 Fraudit을 활용한 회계부정적발,안정국,아진,50000,45000,2021-08-20
72시간 파이썬 정복(코딩초보를 위한),이승현/이정환/조수현/양정모,광문각,24000,21600,2019-07-30
파이썬 프로그래밍,진민,휴먼싸이언스,20000,18000,2020-12-10
파이썬 입문교실,오오사와 후미타카,영진닷컴,17000,15300,2018-07-11
파이썬 프로그래밍,이영실,한산,23000,23000,2017-08-30
파이썬 프로그래밍,Philip Nelson/Jesse M Kinder,휴먼싸이언스,20000,18000,2017-01-31
파이썬 프로그래밍,John V Guttag,도서출판 홍릉(홍릉과학출판사),29000,29000,2019-02-22
파이썬 기초 실습,고응남,인피니티북스,25000,25000,2022-04-27
파이썬 객체지향 프로그래밍,스티븐 로트/더스티 필립스,에이콘출판,43000,38700,2022-06-30
손에 잡히는 파이썬,문용준,비제이퍼블릭,44000,39600,2018-03-30
비전공자 컴퓨팅사고력 향상을 위한 파이썬 응용,오하영,휴먼싸이언스,18000,16200,2019-02-20
고등학교 및 대학 신입생을 위한 파이썬 프로그래밍,최종명,J&H,20000,-1,2023-01-23
토닥토닥 파이썬,권상기,플랜투,25000,22500,2019-04-08
예제로 배우는 파이썬 머신러닝,위시 (헤이든) 류,제이펍,33000,29700,2022-08-26
진짜 코딩하며 배우는 파이썬,서민우/박준원,앤써북,17700,15930,2020-08-15
차근차근 데이터 분석과 인공지능 with 파이썬,류현수/박진영/최리사/최지영/최미선,연두에디션,23000,23000,2022-10-15
파이썬으로 시작하는 코딩,브라이언 칼링/말리 아데어,코딩타임,20000,18000,2018-09-10
더 탄탄하게 배우는 파이썬3,제드 쇼,성안당,20000,18000,2018-08-17
알고리즘과 파이썬,채진석,정익사,27000,27000,2019-08-26
프로그래머를 위한 파이썬,데인 힐라드,제이펍,25000,22500,2020-11-13
고전 컴퓨터 알고리즘 인 파이썬,데이비드 코펙,한빛미디어,25000,22500,2019-12-01
코딩 테스트로 시작하는 파이썬 프로그래밍,다니엘 진가로,영진닷컴,24000,21600,2022-04-25
챗GPT와 업무자동화,김철수,위키북스,18000,16200,2023-03-21
파이썬 399 Step,문혜영,아이콕스,22000,19800,2022-03-15
파이썬 프로그래밍 길라잡이,장혜진,홍릉,29000,29000,2022-02-25
누구나 파이썬,전익진,디스커버리미디어,17500,15750,2022-01-10
시작북 파이썬,코딩 코치스,유페이퍼,4600,-1,2021-01-05
심플 파이썬,김동주,부크크(Bookk),13400,-1,2019-12-19
엑셀, R, 파이썬으로 시작하는 데이터 분석,조지 마운트,한빛미디어,22000,19800,2022-04-29
마케터의 파이썬,정희석,e비즈북스,22000,19800,2022-01-26
생활코딩! 파이썬,이고잉/장용하,범,18000,16200,2020-03-23
파이썬과 코랩기반의 OpenCV로 배우는 영상처리,고병철,그린,20000,20000,2022-01-07
고등학교 및 대학 신입생을 위한 파이썬 프로그래밍,최종명,J&H,25000,22500,2023-01-07
파이썬 기초 프로그래밍,정경호,일일사,25000,22500,2017-08-28
파이썬 시작 가이드,베아투스,e퍼플,7000,-1,2020-04-17
파이썬과 리액트를 활용한 주식 자동 거래 시스템 구축(프로그래밍&프랙티스...,박재현,위키북스,28000,25200,2020-02-12
파이썬 웹 스크래핑,캐서린 자멀/리차드 로손,에이콘출판,25000,22500,2019-01-02
나혼자 파이썬,이창현,디지털북스,15000,13500,2020-12-10
Try! Helloworld 파이썬,정윤원/정두식,길벗,18000,16200,2017-02-15
쉽게 배우는 파이썬,김은옥,삼양미디어,18000,16200,2021-07-05
파이썬으로 제어하는 마이크로비트,북마크,유페이퍼,5000,-1,2022-09-07
처음 만나는 파이썬,가마타 마사히로,제이펍,22000,19800,2017-03-30
파이썬 병렬 프로그래밍,얀 팔라흐,에이콘출판,14000,12600,2016-11-04
유쾌한 파이썬,스티븐 로트,에이콘출판,24000,21600,2015-11-30
모던 파이썬 입문,아나 벨,길벗,26000,23400,2019-10-07
파이썬 웹프로그래밍,김석훈,한빛미디어,14000,-1,2016-04-12
파이썬 네트워크 자동화,최병철,에이콘출판,45000,40500,2019-07-25
파이썬 분산 컴퓨팅,프란세스코 피에르페데리시,에이콘출판,20000,18000,2016-11-28
파이썬답게 코딩하기,심경섭,비제이퍼블릭,20000,18000,2018-04-30
파이썬 프로그래밍 개론,데이비드 슈나이더,에이콘출판,35000,31500,2016-11-30
코딩 강화 파이썬,이규호,제이펍,19800,17820,2019-06-28
러닝 파이썬(하),마크 루츠,제이펍,38000,34200,2018-03-28
러닝 파이썬 세트,마크 루츠,제이펍,76000,68400,2018-03-28
러닝 파이썬(상),마크 루츠,제이펍,38000,34200,2018-03-28
헬로! 파이썬 프로그래밍,워렌 산데/카터 산데,위키북스,27000,24300,2015-09-04
파이썬 네트워킹 마스터,에릭 추,에이콘출판,35000,31500,2019-10-31
파이썬3 바이블,이강성,프리렉,42000,37800,2013-10-01
파이썬 성능 높이기,가브리엘레 라나로,에이콘출판,28000,25200,2018-11-30
파이썬 입문(반양장),야마다 요시히로/야마다 나미,시그마프레스,25000,25000,2021-01-05
파이썬의 신,김주현,로드북,27000,24300,2019-02-14
모던 파이썬 쿡북,스티븐 로트,에이콘출판,43000,38700,2018-02-22
실전 파이썬 프로그래밍,줄리안 단주,인사이트,17000,15300,2014-12-13
파이썬으로 익히는 말랑말랑 알고리즘,김경록,비제이퍼블릭,30000,27000,2022-01-27
파이썬 코딩 알고리듬,오상문,도수서원,12000,10800,2017-09-25
파이썬 프로그래밍 핵심,전희성,UUP,13000,13000,2021-02-23
이젠 나도! 파이썬,이지선,성안당,25000,22500,2019-10-04
파이썬이 보이는 그림책,ANK CO LTD,성안당,18000,15300,2018-07-24
코딩영어(파이썬 프로그래밍),김용찬,원펀치,16000,14400,2022-04-11
알 스웨이가트의 파이썬 프로젝트,알 스웨이가트,제이펍,28000,25200,2022-02-24
파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문,쿠지라 히코우즈쿠에,위키북스,30000,27000,2019-12-10
파이썬 데이터 분석 for Beginner,우재남,한빛아카데미,28000,28000,2022-06-23
파이썬을 이용한 공학 프로그래밍,손재범/정의성/이호영/임형규/박영상,성안당,25000,22500,2021-03-05
파이썬 기반 강화학습 알고리듬,안드레아 론자,에이콘출판,30000,27000,2021-08-25
핵심코어! 파이썬 프로그래밍,최희식,인피니티북스,23000,23000,2022-03-17
파이썬과 주피터 노트북 기반의 SAS Viya,강봉주,자유아카데미,26400,-1,2022-10-19
더 쉬운 파이썬 프로그래밍,최 종 명,J&H,18000,-1,2022-03-04
데이터 분석을 위한 파이썬,오경선/장은실/양숙희,인피니티북스,25000,25000,2022-03-25
낭만독타 IGCSE 컴퓨터사이언스 파이썬,박문철,낭만독타,20000,-1,2022-08-29
파이썬과 확률분포,손현석,토마토마트,10000,-1,2018-05-23
코딩정복 with 파이썬,황현숙,피씨북,8000,-1,2020-01-02
따라하면서 배우는 파이썬,이상철,복두출판사,13000,13000,2021-12-01
시작북 파이썬 (컬러판),코딩 코치스,부크크(Bookk),11000,11000,2021-01-06
정치학을 위한 파이썬,엄기홍,경북대학교출판부,15000,15000,2018-02-14
CORE 파이썬 프로그래밍,WESLEY JCHUN,피어슨에듀케이션코리아,25000,-1,2002-05-24
파이썬 시작하기,마크 루츠,한빛미디어,22000,-1,2001-01-31
모두를 위한 파이썬,Cay Horstmann/Rance Necaise,한티에듀,35000,35000,2020-03-02
파이썬데이터 분석COS Pro 2급,조문기/조상욱/최기환/천양하,북스홀릭퍼블리싱,24000,21600,2022-08-31
파이썬 마스터 3급,강윤희/남성현/박용범,명진씨앤피,18000,16200,2021-06-25
코딩 정복 with 파이썬,황현숙,PCBOOK,8000,-1,2017-10-16
데이터 시각화 with 파이썬,설진욱,아이콕스,28000,25200,2021-03-20
함수형 파이썬 프로그래밍,스티븐 로트,에이콘출판,30000,27000,2017-02-28
초간단 파이썬 입문서,유채곤,부크크(Bookk),3900,-1,2018-01-03
파이썬으로 맛보는 인공지능 한 조각,김수빈,디지털북스,18000,16200,2022-08-30
초간단 파이썬 입문서,유채곤,부크크(Bookk),9200,9200,2017-03-14
신비한 파이썬 프로젝트,리본,영진닷컴,24000,21600,2020-05-22
객체지향 파이썬 프로그래밍,스티븐 로트,에이콘출판,45000,40500,2017-02-17
파이썬과 피지컬 컴퓨팅,목원대학교 스톡스대학 SW교양학부/조도은/고유정/구진희/연용호/최정희,인피니티북스,14000,14000,2020-08-24
파이썬 쉽게, 더 쉽게,츠지 신고,제이펍,26000,23400,2018-12-20
구글로 공부하는 파이썬,김용재,비제이퍼블릭,42000,37800,2018-03-09
파이썬과 비즈니스 자동화,체탄 기리다,에이콘출판,30000,27000,2018-11-08
컴맹을 위한 파이썬,정덕,디지털북스,12000,10800,2018-07-15
러닝스쿨! 파이썬 교과서,쿠지라 히코우즈쿠,위키북스,22000,19800,2017-07-31
파이썬 플레이그라운드,마헤시 벤키타찰람,에이콘출판,30000,27000,2016-11-18
파이썬에 참 좋은 PyCharm,테리엇,비제이퍼블릭,23000,20700,2019-10-31
실전 파이썬 디자인 패턴,향단코드,온노트,8000,-1,2019-08-26
파이썬 데이터 과학 통계 학습,황보현우/정지현,정보문화사,29000,26100,2021-05-25
핵심만 쏙쏙 파이썬,양숙희/오경선/장은실,연두에디션,19000,19000,2020-02-10
파이썬 완벽 가이드(ProgrammingInsight),데이비트 M. 비즐리,인사이트,38000,34200,2012-04-06
파이썬 프로그래밍 첫걸음,최 종 명,J&H,22000,-1,2021-02-18
실전 파이썬 GUI 프로그래밍,향단코드,온노트,8000,-1,2019-09-17
예제 중심의 파이썬,최용,인피니티북스,18000,-1,2011-11-21
파이썬으로 코딩 시작하기,박영호/이병재,PCBOOK,8000,-1,2016-12-15
파이썬 with 컴퓨팅 사고력,황혜정/유현수/박진영/최리사,글로벌,20000,18000,2017-08-14
파이썬 객체지향 프로그래밍,성백균,도서출판 홍릉(홍릉과학출판사),25000,25000,2021-03-05
자연어 처리 쿡북 with 파이썬,크리슈나 바브사/나레쉬 쿠마르/프라탑 단게티,에이콘출판,30000,27000,2019-01-31
파이썬으로 배우는 웹 크롤러,박정태,정보문화사,25000,22500,2018-01-10
파이썬 코딩의 기초,조연상,상학당,32000,32000,2021-07-01
파이썬 딥러닝 프로젝트,Matthew Lamons,홍릉,39000,39000,2022-01-07
파이썬 고급 딥러닝,Ivan Vasilev,홍릉,39000,39000,2022-01-07
파이썬 프로그래밍(쉽게 배우는),이상부,글로벌,16000,14400,2017-09-04
예제로 배우는 컴퓨팅 사고와 파이썬,김성백/김철민/박찬정,연두에디션,28000,26600,2022-08-20
파이썬으로 배우는 텐서플로 기초,도진환,퍼플,9600,9600,2022-08-16
파이썬으로 배우는 머신러닝,김화종,홍릉,26000,26000,2022-06-24
Tkinter 기반 파이썬 비주얼 프로그래밍,김병만/이종열/문창배,홍릉,19000,19000,2021-12-30
10대를 위한 파이썬 교과서,Aristides S Bouras/Loukia V Ainarozidou,교학사,22000,19800,2020-01-20
누구나 쉽게 따라하는 인공지능(feat 파이썬),이용권,씨마스21,21000,18900,2021-08-25
colab에서 파이썬 빅데이터 처리,진하수,부크크(Bookk),19900,19900,2022-06-14
파이썬을 이용한 통계적 머신러닝,박유성,자유아카데미,34000,-1,2022-10-20
파이썬을 활용한 머신러닝 쿡북,크리스 알본,한빛미디어,33000,29700,2019-09-01
머신 러닝을 다루는 기술 with 파이썬, 사이킷런,마크 페너,길벗,34000,30600,2020-06-30
Python in Easy Steps,McGrath Mike,In Easy Steps,17750,17610,2018-08-28
인공지능 파이썬 기초다지기,김찬교/김예린/김재환/안건/이현인/정원석,홍릉,13000,13000,2022-06-23
쉽게 이해되는 파이썬 프로그래밍,유석종/창병모,인피니티북스,27000,27000,2022-02-28
파이썬 프로그래밍(Step by Step 처음 시작하는),김동근,가메,22000,19800,2022-09-07
나는 파이썬으로 피지컬 컴퓨팅한다,최정원/김경규/장병철,씨마스,20000,18000,2022-03-14
이공학을 위한 파이썬 프로그래밍,정동호,내하출판사,22000,22000,2020-03-30
파이썬 코딩의 첫걸음,박영호/이병재,PCBOOK,12000,-1,2017-05-11
실전 파이썬 디자인 패턴 개정판,향단코드,온노트,10000,-1,2022-05-16
파이썬으로 배우는 과학계산,김웅태,서울대학교출판문화원,35000,35000,2021-12-31
파이썬 코딩 14개 이야기,이병재/박영호,PCBOOK,8000,-1,2017-09-06
파이썬 프로젝트 Active 개발 가이드,최원우,아이콕스,20000,18000,2019-08-23
컴퓨팅 사고와 소프트웨어 with 파이썬,성태응/홍정희/이홍래,인피니티북스,25000,25000,2022-03-02
퀀트 전략 파이썬으로 세워라,박준규,비제이퍼블릭,24000,21600,2019-04-30
파이썬으로 배우는 소프트웨어 디자인,김홍준,인피니티북스,20000,20000,2020-02-27
파이썬으로 배우는 프로그래밍 기초,크리스 로피,한빛아카데미,13000,13000,2016-08-18
파이썬으로 배우는 금융 분석,유씽 얀,에이콘출판,38000,34200,2017-11-29
말랑말랑 파이썬 유쾌한 맛,신유선,북스힐,16000,14400,2022-01-30
머신 러닝 인 파이썬,마이클 보울즈,비제이퍼블릭,27000,24300,2015-11-20
인공지능 with 파이썬,김현정/유상현,인피니티북스,22000,22000,2021-09-08
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,한빛아카데미,25000,25000,2022-02-21
파이썬 프로그래밍 실습 (기초편),Alex Lee,유페이퍼,10000,-1,2019-09-07
입문자를 위한 파이썬 프로그래밍,김상근,북스홀릭퍼블리싱,22000,19800,2021-08-30
퍼즐로 배우는 알고리즘: with 파이썬,SRINI DEVADAS,영진닷컴,20000,18000,2019-09-20
컴퓨팅 사고를 위한 파이썬,한선관/김태령,생능출판,30000,27000,2022-01-03
파이썬 코딩(처음 시작하는),문병수/Annie Chong/문석균,캐멀컨설팅,16000,14400,2017-07-17
컴퓨터사고와 파이썬 프로그래밍,김영탁,홍릉,34000,34000,2022-01-20
파이썬 핵심 레퍼런스(Programming Insight),마크 루츠,인사이트,16800,15120,2016-08-12
처음 시작하는 파이썬 프로그래밍,김동근,가메,18000,16200,2018-03-22
파이썬으로 배우는 데이터 과학,알베르토 보스체티/루카 마싸론,에이콘출판,30000,27000,2017-12-08
파이썬 기초 & 알고리즘 사고법,아리스티데스 보우라스/루키아 아이나로지두,제이펍,30000,27000,2018-07-10
프로그래밍이 보인다! 파이썬 입문,제이미 챈,에이콘출판,14000,12600,2015-09-18
파이썬을 활용한 소프트웨어 아키텍처,아난드 발라찬드란 필라이,에이콘출판,40000,36000,2021-01-04
만들면서 배우는 파이썬 하나, 둘, 셋,나인섭,연두에디션,20000,20000,2021-12-10
파이썬으로 배우는 자료구조 프로그래밍,유석종,휴먼싸이언스,25000,22500,2022-02-18
국가대표 파이썬 첫걸음,더코딩칼리지 인스트럭터스,더코딩칼리지,23800,21420,2018-07-14
모두의 데이터 과학 with 파이썬,드미트리 지노비에프,길벗,22000,19800,2017-07-14
파이썬과R(2학기, 워크북포함),심송용/이윤동/김성수,한국방송통신대학교출판문화원,15800,14900,2020-07-25
통계를 위한 파이썬 프로그래밍,김진성,가메,25000,22500,2021-09-15
파이썬 기반의 Natural 컴퓨팅,잔카를코 자코네,도서출판 홍릉(홍릉과학출판사),33000,29700,2020-05-01
AWS로 시작하는 AI 서비스 with 파이썬,이노우에 켄이치,영진닷컴,22000,19800,2021-11-05
현장에서 바로 써먹는 데이터분석 with 파이썬,김임용,심통,25000,-1,2022-08-12
파이썬과 함께 하는 수학 어드벤처,피터 파렐,에이콘출판,30000,27000,2020-01-15
파이썬 3로 컴퓨터 비전 다루기,사우랍 카푸,에이콘출판,24000,21600,2018-01-31
중1수학(상) 파이썬 프로그래밍,정기철,도서출판 홍릉(홍릉과학출판사),16000,16000,2017-03-20
깐깐하게 배우는 파이썬 3(프로그래밍 인사이트),제드 쇼,인사이트,22000,19800,2019-01-22
